CAUSA_DEF,2015,2016,2017,2018,2019,2020,2021,2022,2023
B210,224.0,55.0,61.0,75.0,82.0,54.0,76.0,76.0,65.0
B211,0.0,5.0,8.0,7.0,11.0,7.0,8.0,10.0,10.0
B212,0.0,74.0,76.0,78.0,73.0,47.0,63.0,66.0,66.0
B213,0.0,9.0,10.0,15.0,15.0,13.0,14.0,25.0,23.0
B217,0.0,7.0,10.0,9.0,8.0,8.0,13.0,20.0,18.0
B218,0.0,65.0,56.0,78.0,84.0,67.0,62.0,64.0,57.0
B219,0.0,9.0,12.0,8.0,15.0,13.0,10.0,9.0,21.0
B220,43.0,54.0,59.0,63.0,75.0,43.0,60.0,45.0,53.0
B221,2.0,4.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0
B222,170.0,214.0,235.0,259.0,291.0,247.0,609.0,570.0,562.0
B227,240.0,279.0,243.0,301.0,260.0,256.0,274.0,161.0,165.0
B230,10.0,10.0,7.0,10.0,34.0,26.0,38.0,54.0,68.0
B231,0.0,0.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0
B232,43.0,28.0,48.0,44.0,40.0,34.0,46.0,38.0,46.0
B238,522.0,516.0,520.0,580.0,677.0,618.0,695.0,759.0,720.0
B24X,733.0,434.0,520.0,480.0,415.0,949.0,34.0,15.0,3.0
B250,3.0,4.0,2.0,4.0,3.0,0.0,2.0,6.0,9.0
B251,0.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0
B258,3.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0
B259,20.0,9.0,14.0,15.0,16.0,11.0,6.0,12.0,4.0
B262,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
B268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B269,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0
B270,0.0,3.0,2.0,4.0,8.0,4.0,2.0,5.0,8.0
B271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
B278,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B279,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
B332,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
B333,11.0,15.0,14.0,4.0,1.0,1.0,4.0,4.0,0.0
B334,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
B338,0.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0
B341,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
B342,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
B343,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0
B344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B348,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
B349,5.0,4.0,3.0,3.0,5.0,9.0,9.0,11.0,11.0
B350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B369,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B370,15.0,12.0,16.0,8.0,14.0,17.0,17.0,19.0,12.0
B371,8.0,11.0,17.0,12.0,7.0,14.0,13.0,15.0,22.0
B373,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
B374,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0
B375,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0
B376,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
B377,25.0,30.0,25.0,28.0,25.0,19.0,29.0,26.0,30.0
B378,17.0,25.0,18.0,19.0,22.0,19.0,28.0,23.0,28.0
B379,10.0,14.0,20.0,9.0,14.0,18.0,18.0,22.0,8.0
B380,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
B381,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
B382,7.0,10.0,7.0,9.0,4.0,2.0,9.0,4.0,15.0
B383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
B384,2.0,1.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0
B387,1.0,2.0,0.0,0.0,5.0,1.0,3.0,3.0,6.0
B388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B389,12.0,9.0,7.0,3.0,4.0,6.0,7.0,10.0,4.0
B390,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B392,5.0,5.0,3.0,2.0,7.0,5.0,5.0,1.0,5.0
B393,0.0,1.0,3.0,2.0,3.0,2.0,7.0,2.0,4.0
B394,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
B399,8.0,8.0,5.0,2.0,10.0,5.0,5.0,4.0,5.0
B403,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B410,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B431,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,7.0
B439,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
B440,3.0,1.0,3.0,4.0,7.0,5.0,2.0,0.0,7.0
B441,13.0,21.0,16.0,22.0,12.0,17.0,26.0,24.0,29.0
B447,0.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0
B448,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
B449,6.0,14.0,3.0,5.0,10.0,6.0,8.0,6.0,10.0
B450,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
B451,16.0,7.0,21.0,19.0,11.0,18.0,25.0,25.0,12.0
B457,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
B458,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
B459,3.0,4.0,1.0,4.0,2.0,0.0,1.0,2.0,2.0
B460,0.0,2.0,3.0,1.0,2.0,0.0,4.0,4.0,4.0
B461,7.0,16.0,15.0,14.0,10.0,19.0,49.0,33.0,25.0
B462,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
B463,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0
B464,1.0,0.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0
